Generations,Fitness,Evaluations
1,73.11317385953352,9240
1,63.29114553639749,9240
1,87.00859085890389,9240
1,120.16576662260587,9240
1,73.68604942220149,9240
1,79.38932342800294,9240
1,76.75041811320207,9240
1,83.58148568072065,9240
1,81.90363302388779,9240
1,70.4004234618574,9240
1,89.22223914219143,9240
1,90.08589841879208,9240
1,96.65877359040485,9240
1,87.2811340101146,9240
1,91.04795976129151,9240
1,78.51086460295215,9240
1,91.44766419612134,9240
1,71.42892969382278,9240
1,95.83293252249655,9240
1,126.89874480636315,9240
1,112.67784051688197,9240
1,78.7017193132084,9240
1,62.00804751265934,9240
1,83.45317143088072,9240
1,96.70373503847745,9240
1,90.38803387102861,9240
1,77.7435299590968,9240
1,95.5938146338892,9240
1,112.8307156445912,9240
1,75.16908892767209,9240
1,98.39498123140703,9240
1,75.58196446795377,9240
1,114.98947312262355,9240
1,97.25984594309577,9240
1,88.10481189682827,9240
1,82.74872533499673,9240
1,80.61921083446843,9240
1,116.01485064745168,9240
1,71.81547853081733,9240
1,101.997088833826,9240
1,88.7992364828907,9240
1,97.25592595566724,9240
1,58.774393239011445,9240
1,86.10484823815007,9240
1,89.11280510166794,9240
1,66.08878434215879,9240
1,57.223297719491136,9240
1,90.98119562355124,9240
1,92.62814066559457,9240
1,106.18619701172103,9240
1,81.37162193506174,9240
1,90.16024883349142,9240
1,88.84460370115863,9240
1,100.09312084836621,9240
1,108.16294556148918,9240
1,66.44630102385557,9240
1,117.90503856317999,9240
1,61.348518390129094,9240
1,76.01705541201653,9240
1,79.46088583367748,9240
1,72.16373994646568,9240
1,105.62413077877623,9240
1,92.05658749560247,9240
1,78.94833381751076,9240
1,78.99774793308242,9240
1,95.09067316544586,9240
1,87.69690340047424,9240
1,74.38617082593112,9240
1,82.56529031483018,9240
1,118.28206237246155,9240
1,64.7387776962183,9240
1,91.29167563395205,9240
1,94.51525852573688,9240
1,85.23038315245721,9240
1,65.70876851389757,9240
1,83.31420129922833,9240
1,124.57360856773293,9240
1,37.14126449829597,9240
1,80.27456973845955,9240
1,65.00234406753967,9240
1,65.36966647741646,9240
1,83.31420129922833,9240
1,99.69739221987464,9240
1,104.6103239536341,9240
1,78.40711565294903,9240
1,92.33132030106859,9240
1,127.58584747951129,9240
1,72.13768663424408,9240
1,85.32069118804964,9240
1,101.00038923004237,9240
1,68.1558675998239,9240
1,85.9221548817406,9240
1,65.70876851389757,9240
1,85.06415134407548,9240
1,84.17650659052877,9240
1,103.14877475686029,9240
1,69.85426592083157,9240
1,105.39279868736037,9240
1,69.2385300587024,9240
1,98.3171452097423,9240
2,56.44276223657829,9332
2,112.71349459328799,9332
2,39.58877316838259,9332
2,104.61089036151319,9332
2,71.8608706179561,9332
2,78.43905768163775,9332
2,61.69646056214627,9332
2,76.85983049953504,9332
2,82.54909890112117,9332
2,67.24064798873917,9332
2,90.23919542545674,9332
2,46.06137151923038,9332
2,43.158514146457435,9332
2,58.72152804805684,9332
2,63.000631114423584,9332
2,62.22006314844343,9332
2,97.25592595566724,9332
2,66.44630102385557,9332
2,69.85426592083157,9332
2,65.36966647741646,9332
2,76.61534837848484,9332
2,70.68871963256366,9332
2,94.90716360729144,9332
2,66.05581282206495,9332
2,70.71455105941375,9332
2,79.08837798088005,9332
2,86.66847039264101,9332
2,59.92954822885386,9332
2,83.45283060364645,9332
2,62.39695876502071,9332
2,81.42863259244126,9332
2,87.85123146364946,9332
2,89.50085757645695,9332
2,62.83152500469887,9332
2,102.46766071422864,9332
2,65.63801474182686,9332
2,46.4549152310187,9332
2,56.395117781174804,9332
2,82.37858115245419,9332
2,76.10470907444625,9332
2,61.348518390129094,9332
2,37.14126449829597,9332
2,76.69657712547884,9332
2,80.30386702237078,9332
2,48.8311839150945,9332
2,85.22417552622977,9332
2,63.064204565374034,9332
2,85.09053748088657,9332
2,76.24640140642717,9332
2,84.35895093066902,9332
2,88.16391461764749,9332
2,72.14683405918933,9332
2,37.14126449829597,9332
2,37.14126449829597,9332
2,66.55283967782646,9332
2,60.52472396249624,9332
2,70.66465625648729,9332
2,72.9600446281462,9332
2,67.59421194300644,9332
2,83.54237699612673,9332
2,76.86308252463985,9332
2,52.334769469258575,9332
2,68.80395852845074,9332
2,51.65150726907355,9332
2,57.8522384144678,9332
