Generations,Fitness,Evaluations
1,67.2240232272686,192
1,67.99973499908663,192
1,92.06729703726606,192
1,79.07136678243916,192
1,99.05845874843102,192
1,95.76178883845141,192
1,108.36883603220467,192
1,98.41507720008964,192
1,99.18928965644304,192
1,78.35166045344604,192
1,91.91477243659989,192
1,92.70041774763308,192
1,83.90263715542324,192
1,89.43336030230532,192
1,75.93075066473776,192
1,53.876781329662315,192
1,90.2951445315664,192
1,63.96568444357418,192
1,90.28787578754897,192
1,98.02182155428186,192
1,69.487778577581,192
1,85.89281478571034,192
1,71.9492691662573,192
1,95.17161939523676,192
1,62.3447252286651,192
1,121.84031908736196,192
1,104.73332180814742,192
1,76.42679084963397,192
1,100.65573353304401,192
1,74.7206985269605,192
1,52.6801319449356,192
1,79.33082869396756,192
1,94.22285205705546,192
1,67.61118942115684,192
1,72.09764559659602,192
1,79.77063305352279,192
1,65.26963303036528,192
1,81.93538624630045,192
1,60.72008436985238,192
1,64.08156850905537,192
1,91.4278078999527,192
1,65.4704953272614,192
1,87.7755440072207,192
1,116.15944376928218,192
1,89.88164604800185,192
1,62.46818980838744,192
1,91.93312421965454,192
1,59.482513204392255,192
1,63.0509810727478,192
1,40.98321575466123,192
1,83.16318476574638,192
1,71.02164441059843,192
1,66.51177247327473,192
1,93.23422357936448,192
1,89.86755177309652,192
1,80.89061272643629,192
1,107.1114134766777,192
1,88.84914633793808,192
1,79.11684728493937,192
1,134.59835425998074,192
1,85.16540952126542,192
1,86.47510737490461,192
1,118.05884589017677,192
1,115.4764413903628,192
1,94.70332685521659,192
1,95.70083694744733,192
1,74.58850266638784,192
1,79.07062245128623,192
1,89.16642825531248,192
1,109.1800441054247,192
1,79.6091246607762,192
1,48.81808187504435,192
1,60.89705363941701,192
1,84.65001979040015,192
1,106.54946093894034,192
1,92.61760297771349,192
1,94.21628358161372,192
1,64.06517602144126,192
1,62.42660793864628,192
1,87.88645515070849,192
1,115.14012069069545,192
1,78.27688956627759,192
1,103.58386754425665,192
1,114.8345950682366,192
1,93.77935440251886,192
1,70.01676994992022,192
1,106.91541373934825,192
1,74.63279583858584,192
1,65.91115207481727,192
1,93.24428938817722,192
1,70.02623640802526,192
1,91.71438865850618,192
1,79.15021288900434,192
1,93.81418992665434,192
1,62.56903859408339,192
1,88.76799322438885,192
1,88.21556703887317,192
1,108.49919293467009,192
1,85.2332530659247,192
1,120.52307483561732,192
2,85.616533172575,278
2,63.73353180491378,278
2,67.61118942115684,278
2,83.90263715542324,278
2,50.33711983353937,278
2,90.17230315464006,278
2,64.42275565519348,278
2,84.8078298875132,278
2,63.26217302545067,278
2,60.1444115159815,278
2,72.61644608769431,278
2,77.30320673307114,278
2,93.93007880253735,278
2,46.0375972881659,278
2,92.21100544394014,278
2,62.07140567424368,278
2,69.7268784380961,278
2,73.73277288242359,278
2,74.2185440863046,278
2,51.414691458756764,278
2,110.45262421753263,278
2,71.09558536040147,278
2,72.44998437684818,278
2,73.76418146164603,278
2,77.9273236239093,278
2,42.126514582038155,278
2,52.6801319449356,278
2,66.51177247327473,278
2,74.58850266638784,278
2,91.91477243659989,278
2,71.34302259554251,278
2,86.5527358401672,278
2,60.47725766378842,278
2,82.75808029131298,278
2,62.31792531553075,278
2,48.63189371641606,278
2,65.25647402530478,278
2,67.73822521070826,278
2,78.35166045344604,278
2,79.07062245128623,278
2,100.3043392207984,278
2,59.53138509616738,278
2,61.086679252857195,278
2,69.77818254980588,278
2,68.35450735794278,278
2,73.22231346970784,278
2,49.19535172659461,278
2,54.214471966712914,278
2,63.96568444357418,278
2,62.56903859408339,278
2,47.34482869751627,278
2,69.07918698828392,278
2,71.51071490572573,278
2,62.86516219917784,278
2,84.65001979040015,278
2,69.487778577581,278
2,68.59018007413898,278
2,78.642979000995,278
2,71.9492691662573,278
2,60.89705363941701,278
2,59.75786661945391,278
2,46.799046655144004,278
2,68.57523162141639,278
2,79.60310734612484,278
2,73.74537549789183,278
2,98.55947053275888,278
2,56.918278489458025,278
2,105.49006135634852,278
2,99.04441752144635,278
2,88.03132728570516,278
2,66.37453965671429,278
2,42.60841109703357,278
