Generations,Variaveis de Decisão,Evaluations,Best Fitness,Media,Desvio Padrao
23,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2179,"(3.4973779216359215,)",4.048511749801636,2.7948862896330215
24,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2266,"(3.204643133675807,)",4.112425280053335,3.050400506266939
25,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2357,"(3.204643133675807,)",3.999095676406415,3.633099221082737
26,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2449,"(3.204643133675807,)",3.953059595688762,3.158956058929157
27,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2539,"(3.204643133675807,)",3.9453018416014736,3.3708147395182513
28,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2627,"(3.204643133675807,)",3.8048169204875517,2.491466152184899
29,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2720,"(3.204643133675807,)",4.184013629031667,4.103084614024671
30,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2812,"(3.204643133675807,)",4.231900956734322,5.021229853373372
31,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2905,"(3.204643133675807,)",3.8606221088741695,4.525045641445847
32,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2999,"(3.204643133675807,)",3.808379829603299,4.414550593031381
33,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3088,"(3.204643133675807,)",3.569655636806388,2.185477956692253
34,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3181,"(3.204643133675807,)",4.075052617766666,7.874836688663231
35,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3275,"(3.204643133675807,)",3.465338076986569,2.5938819351142928
36,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3367,"(3.204643133675807,)",3.204643133675808,8.881784197001252e-16
37,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3457,"(3.204643133675807,)",3.752380478948237,3.3450534286571187
38,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3549,"(3.204643133675807,)",3.8153952585460376,4.656711109479486
39,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3640,"(3.204643133675807,)",4.1854192190089385,6.377988475708905
40,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3725,"(3.204643133675807,)",4.028847676426304,3.8552257258061724
41,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3816,"(3.204643133675807,)",4.0134935017773605,5.012342356390226
42,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",3913,"(3.204643133675807,)",3.3861351411713265,1.2811480681468945
43,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",4000,"(3.204643133675807,)",3.9556410570813885,4.609350911810751
44,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",4088,"(3.204643133675807,)",3.4538138766909414,2.1274849895189543
45,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",4184,"(3.204643133675807,)",3.6508652840030775,2.690193166864923
46,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",4275,"(3.204643133675807,)",4.808974636075925,7.428418086647081
47,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4365,"(3.0901822307379003,)",4.750529228651128,7.11904977932806
48,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4458,"(3.0901822307379003,)",3.5190184211980795,2.8588384936248445
49,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4552,"(3.0901822307379003,)",4.024707418096787,4.027324365061135
50,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4640,"(3.0901822307379003,)",4.264954257939693,4.900334848922319
51,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, 0.027059979118792654, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, -0.010954677654355455, -0.010592179329568296]",4734,"(3.0901822307379003,)",3.2547892906233638,0.8429461804350872
