Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
14,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10412,"(8.166362562927217,)",10.2873164851743,4.562191112790681
15,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10498,"(8.166362562927217,)",9.43127820437676,2.2324671191027408
16,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10590,"(8.166362562927217,)",9.219959853533606,4.211033547522876
17,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10683,"(7.475179451402921,)",8.5644690880813,3.072727928046081
18,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10777,"(7.475179451402921,)",8.381782182086019,2.4134903648659076
19,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10863,"(7.475179451402921,)",8.9845399898353,6.326254711983987
20,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 0.9234282286776474]",10956,"(7.475179451402921,)",7.754779195870159,1.5354341053389522
21,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, -0.09608886730385624]",11041,"(7.264332190274576,)",8.344843840146153,4.880224369287127
22,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 1.0090543713647369]",11130,"(6.521625241898153,)",8.016381265424135,4.448808100227459
23,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, 0.0754410416078064, 1.0090543713647369]",11224,"(6.521625241898153,)",7.606547476589492,3.6983966200050222
24,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11316,"(5.587093195992299,)",6.7398562680982534,1.6451456976470087
25,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11410,"(5.587093195992299,)",6.4988608501146325,2.346280404128872
26,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11500,"(5.587093195992299,)",6.730359055764106,3.678146510617279
27,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11592,"(5.587093195992299,)",5.687343143112035,0.3532401890885204
28,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11680,"(5.587093195992299,)",5.926286013379139,3.374925920567051
29,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",11776,"(5.587093195992299,)",5.766035495590534,1.7804534006721313
